player_id,season,appearances,minutes,duels_per_90_current,tackles_per_90_current,fouls_per_90_current,duels_per_90_prev,tackles_per_90_prev,fouls_per_90_prev,minutes_vs_last_season,duels_per_90_vs_last_season,appearances_pace,prev_season_appearances
5,2022,30.0,2286.0,6.062992125984252,1.4173228346456692,0.9448818897637795,,,,,,30.0,
17,2022,29.0,830.0,11.602409638554217,1.1927710843373494,1.0843373493975905,,,,,,29.0,
18,2022,26.0,1698.0,8.586572438162545,0.8480565371024734,0.4770318021201414,,,,,,26.0,
23,2022,32.0,350.0,8.742857142857142,2.314285714285714,0.2571428571428571,,,,,,32.0,
44,2022,37.0,2920.0,9.678082191780822,2.065068493150685,1.4486301369863013,,,,,,37.0,
49,2022,33.0,2485.0,10.140845070422536,2.535211267605634,1.3400402414486923,,,,,,33.0,
54,2022,23.0,1248.0,12.403846153846155,0.21634615384615385,2.0913461538461537,,,,,,23.0,
76,2022,0.0,0.0,,,,,,,,,,
80,2022,19.0,733.0,20.50477489768076,2.0873124147339697,1.8417462482946796,,,,,,19.0,
83,2022,9.0,162.0,8.333333333333332,1.1111111111111112,,,,,,,9.0,
95,2022,18.0,912.0,8.68421052631579,1.381578947368421,0.888157894736842,,,,,,18.0,
104,2022,28.0,1144.0,13.138111888111888,0.3146853146853147,1.652097902097902,,,,,,28.0,
130,2022,36.0,2651.0,10.965673330818559,2.4104111655978877,1.5956242927197286,,,,,,36.0,
133,2022,26.0,2027.0,8.25851011346818,1.6872224962999505,1.021213616181549,,,,,,26.0,
147,2022,20.0,781.0,13.482714468629963,2.189500640204866,1.8437900128040972,,,,,,20.0,
150,2022,0.0,0.0,,,,,,,,,,
158,2022,0.0,0.0,,,,,,,,,,
159,2022,26.0,2205.0,0.6938775510204082,0.04081632653061225,,,,,,,26.0,
161,2022,0.0,0.0,,,,,,,,,,
163,2022,24.0,1949.0,10.759363776295537,2.9553617239610053,0.8311954848640329,,,,,,24.0,
164,2022,31.0,2289.0,8.92529488859764,1.1009174311926606,1.1795543905635648,,,,,,31.0,
168,2022,18.0,865.0,9.572254335260116,2.4971098265895955,0.7283236994219653,,,,,,18.0,
169,2022,38.0,3348.0,8.440860215053764,1.9086021505376345,1.2903225806451613,,,,,,38.0,
171,2022,31.0,2653.0,10.855635130041463,2.069355446664154,0.8480964945344892,,,,,,31.0,
172,2022,3.0,38.0,14.210526315789473,,,,,,,,3.0,
174,2022,29.0,2067.0,5.44267053701016,0.957910014513788,0.5660377358490566,,,,,,29.0,
175,2022,33.0,2817.0,6.325878594249201,0.9584664536741214,0.7987220447284344,,,,,,33.0,
178,2022,15.0,139.0,27.194244604316548,5.179856115107914,1.9424460431654678,,,,,,15.0,
180,2022,23.0,1496.0,9.204545454545455,2.0454545454545454,1.3836898395721926,,,,,,23.0,
182,2022,0.0,0.0,,,,,,,,,,
184,2022,38.0,3408.0,10.827464788732394,0.3961267605633803,0.8186619718309859,,,,,,38.0,
186,2022,36.0,2899.0,7.9475681269403236,0.7450845119006555,0.40358744394618834,,,,,,36.0,
190,2022,6.0,195.0,1.3846153846153846,,0.46153846153846156,,,,,,6.0,
190,2022,2.0,27.0,10.0,,3.333333333333333,,,,,,2.0,
207,2022,34.0,2110.0,9.213270142180095,1.7488151658767772,1.2796208530805686,,,,,,34.0,
247,2022,21.0,1465.0,14.129692832764505,1.5972696245733788,1.5972696245733788,,,,,,21.000000000000004,
253,2022,5.0,306.0,0.29411764705882354,,0.29411764705882354,,,,,,5.0,
259,2022,27.0,2352.0,6.1607142857142865,1.568877551020408,0.38265306122448983,,,,,,27.0,
261,2022,27.0,2230.0,7.869955156950673,1.73542600896861,1.251121076233184,,,,,,27.0,
263,2022,3.0,135.0,7.333333333333334,2.0,0.6666666666666667,,,,,,3.0,
279,2022,0.0,0.0,,,,,,,,,,
280,2022,37.0,3330.0,0.6216216216216216,,0.027027027027027025,,,,,,37.0,
281,2022,1.0,90.0,,,,,,,,,1.0,
283,2022,37.0,2931.0,6.724667349027635,1.750255885363357,0.6755373592630501,,,,,,37.0,
284,2022,21.0,1460.0,9.061643835616438,1.726027397260274,0.8013698630136986,,,,,,21.000000000000004,
286,2022,14.0,1092.0,7.912087912087912,1.2362637362637363,0.8241758241758242,,,,,,14.0,
289,2022,34.0,2587.0,6.2968689601855425,1.3219945883262467,0.7653652879783532,,,,,,34.0,
290,2022,33.0,2835.0,5.936507936507937,0.8571428571428572,0.41269841269841273,,,,,,33.0,
292,2022,35.0,2075.0,5.595180722891566,1.3879518072289156,0.7807228915662651,,,,,,35.0,
293,2022,18.0,1039.0,11.953801732435036,2.9451395572666024,1.1260827718960538,,,,,,18.0,
294,2022,8.0,292.0,12.945205479452055,1.5410958904109588,3.698630136986301,,,,,,8.0,
295,2022,16.0,729.0,7.283950617283951,1.1111111111111112,0.24691358024691357,,,,,,16.0,
296,2022,31.0,893.0,13.706606942889138,2.620380739081747,1.612541993281075,,,,,,31.0,
296,2022,31.0,893.0,13.706606942889138,2.620380739081747,1.612541993281075,,,,,,31.0,
297,2022,9.0,334.0,11.856287425149702,1.347305389221557,0.8083832335329341,,,,,,9.0,
299,2022,36.0,2677.0,8.505790063503921,2.1852820321255138,1.7818453492715727,,,,,,36.0,
302,2022,25.0,1212.0,10.396039603960396,1.2623762376237624,0.6683168316831682,,,,,,25.0,
306,2022,38.0,3297.0,8.871701546860782,0.5732484076433121,0.545950864422202,,,,,,38.0,
318,2022,23.0,1800.0,7.95,2.25,1.1,,,,,,23.0,
326,2022,0.0,0.0,,,,,,,,,,
371,2022,16.0,1419.0,11.923890063424949,2.66384778012685,0.9513742071881607,,,,,,16.0,
378,2022,0.0,0.0,,,,,,,,,,
415,2022,19.0,1440.0,10.1875,1.8125000000000002,1.3125,,,,,,19.0,
507,2022,18.0,1254.0,12.559808612440191,3.086124401913876,1.291866028708134,,,,,,18.0,
533,2022,26.0,1959.0,9.234303215926493,2.8483920367534457,0.8728943338437978,,,,,,26.0,
537,2022,33.0,2194.0,8.73746581586144,2.543299908842297,1.1075660893345487,,,,,,33.0,
537,2022,33.0,2194.0,8.73746581586144,2.543299908842297,1.1075660893345487,,,,,,33.0,
547,2022,7.0,164.0,9.878048780487806,,2.1951219512195124,,,,,,7.0,
548,2022,18.0,653.0,13.506891271056661,2.756508422664625,1.653905053598775,,,,,,18.0,
566,2022,0.0,0.0,,,,,,,,,,
567,2022,32.0,1997.0,6.219328993490235,0.9464196294441662,0.85628442663996,,,,,,32.0,
583,2022,16.0,944.0,13.15677966101695,1.3347457627118644,1.4300847457627117,,,,,,16.0,
617,2022,35.0,3150.0,0.5142857142857142,0.08571428571428572,0.02857142857142857,,,,,,35.0,
622,2022,27.0,993.0,6.61631419939577,0.9969788519637462,0.45317220543806647,,,,,,27.0,
623,2022,,,,,,,,,,,,
626,2022,29.0,1848.0,5.0649350649350655,1.12012987012987,0.487012987012987,,,,,,29.0,
627,2022,27.0,1957.0,5.196729688298416,0.5978538579458355,0.6898313745528871,,,,,,27.0,
629,2022,32.0,2425.0,7.7195876288659795,1.0391752577319588,0.7422680412371134,,,,,,32.0,
630,2022,,,,,,,,,,,,
631,2022,33.0,1872.0,10.048076923076923,0.7692307692307693,0.4807692307692308,,,,,,33.0,
632,2022,0.0,0.0,,,,,,,,,,
633,2022,31.0,2377.0,7.307530500631047,1.1358855700462769,0.8708456037021456,,,,,,31.0,
635,2022,38.0,1924.0,10.057172557172558,1.4033264033264035,0.7484407484407485,,,,,,38.0,
636,2022,38.0,2222.0,8.870387038703871,1.7821782178217822,1.2556255625562556,,,,,,38.0,
638,2022,0.0,0.0,,,,,,,,,,
641,2022,27.0,2135.0,7.840749414519907,1.6861826697892273,0.2529274004683841,,,,,,27.0,
643,2022,26.0,2075.0,18.520481927710843,1.4313253012048193,1.8650602409638553,,,,,,26.0,
645,2022,28.0,1903.0,10.877561744613768,0.8512874408828167,0.9931686810299528,,,,,,28.0,
657,2022,31.0,2575.0,10.73009708737864,2.900970873786408,1.4679611650485436,,,,,,31.0,
662,2022,0.0,0.0,,,,,,,,,,
665,2022,20.0,275.0,13.09090909090909,2.290909090909091,0.6545454545454545,,,,,,20.0,
671,2022,8.0,240.0,11.625000000000002,0.375,0.75,,,,,,8.0,
